G33	G61	3.7137631425368
G61	G33	3.7137631425368
G1	G69	3.65944521722268
G69	G1	3.65944521722268
G81	G69	3.6536903553406
G69	G81	3.6536903553406
G83	G49	3.65154486509625
G49	G83	3.65154486509625
G42	G61	3.65096470044255
G61	G42	3.65096470044255
G40	G26	3.64901263156079
G26	G40	3.64901263156079
G44	G71	3.64519758762046
G71	G44	3.64519758762046
G46	G75	3.63481424006142
G75	G46	3.63481424006142
G99	G1	3.6193023344936
G1	G99	3.6193023344936
G50	G48	3.61328814069187
G48	G50	3.61328814069187
G57	G1	3.60692642921835
G1	G57	3.60692642921835
G28	G26	3.6055941705001
G26	G28	3.6055941705001
G56	G87	3.57863323643329
G87	G56	3.57863323643329
G99	G12	3.55770429442194
G12	G99	3.55770429442194
G22	G21	3.52808335157868
G21	G22	3.52808335157868
G21	G24	3.49586395398471
G24	G21	3.49586395398471
G99	G56	3.47611875654355
G56	G99	3.47611875654355
G26	G94	3.41765194280632
G94	G26	3.41765194280632
G57	G15	3.41681284553043
G15	G57	3.41681284553043
G52	G18	3.41387513002473
G18	G52	3.41387513002473
G42	G67	3.37924395100604
G67	G42	3.37924395100604
G36	G99	3.37859721819546
G99	G36	3.37859721819546
G51	G42	3.36608547560342
G42	G51	3.36608547560342
G62	G93	3.3655409503345
G93	G62	3.3655409503345
G38	G39	3.36292380201769
G39	G38	3.36292380201769
G9	G33	3.36246555419608
G33	G9	3.36246555419608
G26	G85	3.34059540769554
G85	G26	3.34059540769554
G42	G90	3.32613910491835
G90	G42	3.32613910491835
G4	G95	3.32600605645485
G95	G4	3.32600605645485
G55	G99	3.32449065474615
G99	G55	3.32449065474615
G1	G41	3.31728697608852
G41	G1	3.31728697608852
G49	G100	3.29473481736686
G100	G49	3.29473481736686
G71	G72	3.28285269206457
G72	G71	3.28285269206457
G56	G42	3.27978957968434
G42	G56	3.27978957968434
G42	G87	3.27698267236767
G87	G42	3.27698267236767
G92	G80	3.27550611997396
G80	G92	3.27550611997396
G30	G69	3.27460564260786
G69	G30	3.27460564260786
G20	G22	3.25704470882726
G22	G20	3.25704470882726
G65	G90	3.23950187824759
G90	G65	3.23950187824759
G11	G99	3.23664427043744
G99	G11	3.23664427043744
G98	G27	3.2344869404815
G27	G98	3.2344869404815
G39	G9	3.21727650752046
G9	G39	3.21727650752046
G15	G16	3.21604377294312
G16	G15	3.21604377294312
G57	G69	3.21417421503483
G69	G57	3.21417421503483
G49	G15	3.20350144789879
G15	G49	3.20350144789879
G32	G26	3.19846878641386
G26	G32	3.19846878641386
G69	G100	3.19204431096903
G100	G69	3.19204431096903
G42	G15	3.18929272961832
G15	G42	3.18929272961832
G39	G27	3.16373664764564
G27	G39	3.16373664764564
G27	G7	3.12251177783669
G7	G27	3.12251177783669
G24	G73	3.12102209250099
G73	G24	3.12102209250099
G59	G13	3.11235583400242
G13	G59	3.11235583400242
G87	G49	3.10975221686325
G49	G87	3.10975221686325
G41	G23	3.10824746308682
G23	G41	3.10824746308682
G43	G44	3.10728072740999
G44	G43	3.10728072740999
G49	G42	3.10507126122886
G42	G49	3.10507126122886
G8	G2	3.10208373352614
G2	G8	3.10208373352614
G74	G12	3.10050479431779
G12	G74	3.10050479431779
G13	G11	3.09113984558372
G11	G13	3.09113984558372
G66	G43	3.08787265472885
G43	G66	3.08787265472885
G90	G63	3.08539821547773
G63	G90	3.08539821547773
G47	G42	3.07288021861588
G42	G47	3.07288021861588
G78	G7	3.07038597045561
G7	G78	3.07038597045561
G47	G22	3.06023546990605
G22	G47	3.06023546990605
G10	G30	3.04378884517679
G30	G10	3.04378884517679
G55	G43	3.04024993153044
G43	G55	3.04024993153044
G25	G2	2.99517252129828
G2	G25	2.99517252129828
G66	G47	2.98941785205755
G47	G66	2.98941785205755
G94	G49	2.97971304257479
G49	G94	2.97971304257479
G99	G13	2.97806287550502
G13	G99	2.97806287550502
G7	G44	2.97587372027691
G44	G7	2.97587372027691
G1	G25	2.97534511833848
G25	G1	2.97534511833848
G67	G100	2.96794798576457
G100	G67	2.96794798576457
G50	G54	2.94867508871262
G54	G50	2.94867508871262
G42	G89	2.94598679892921
G89	G42	2.94598679892921
G44	G97	2.9437617710958
G97	G44	2.9437617710958
G56	G92	2.92900951745443
G92	G56	2.92900951745443
G49	G75	2.92886257102797
G75	G49	2.92886257102797
G8	G64	2.92622724756524
G64	G8	2.92622724756524
G68	G93	2.91788693750145
G93	G68	2.91788693750145
G57	G43	2.89597525213479
G43	G57	2.89597525213479
G69	G33	2.89506806077239
G33	G69	2.89506806077239
G92	G38	2.89196207134965
G38	G92	2.89196207134965
G75	G67	2.89029386943843
G67	G75	2.89029386943843
G25	G32	2.8865055450108
G32	G25	2.8865055450108
G42	G37	2.88426107145435
G37	G42	2.88426107145435
G76	G67	2.88410214928771
G67	G76	2.88410214928771
G100	G17	2.8795587988296
G17	G100	2.8795587988296
G36	G49	2.87024124099854
G49	G36	2.87024124099854
G80	G9	2.86946812689775
G9	G80	2.86946812689775
G49	G29	2.86353972549926
G29	G49	2.86353972549926
G17	G43	2.85980759715107
G43	G17	2.85980759715107
G87	G48	2.85778918601148
G48	G87	2.85778918601148
G63	G19	2.85319044846364
G19	G63	2.85319044846364
G68	G46	2.84419714210232
G46	G68	2.84419714210232
G35	G15	2.83375383103188
G15	G35	2.83375383103188
G49	G97	2.82349842871691
G97	G49	2.82349842871691
G57	G99	2.82254682209816
G99	G57	2.82254682209816
G92	G83	2.81721262937812
G83	G92	2.81721262937812
G34	G79	2.81397971498079
G79	G34	2.81397971498079
G85	G49	2.81112169451061
G49	G85	2.81112169451061
G8	G30	2.80652395958534
G30	G8	2.80652395958534
G10	G67	2.80225267204297
G67	G10	2.80225267204297
G91	G100	2.79369329134649
G100	G91	2.79369329134649
G24	G9	2.79280007870231
G9	G24	2.79280007870231
G74	G71	2.77899494815304
G71	G74	2.77899494815304
G65	G42	2.77745337563716
G42	G65	2.77745337563716
G99	G63	2.77708089183228
G63	G99	2.77708089183228
G73	G56	2.77093417240352
G56	G73	2.77093417240352
G45	G78	2.76907058662592
G78	G45	2.76907058662592
G56	G26	2.74823212418575
G26	G56	2.74823212418575
G41	G76	2.73338574814579
G76	G41	2.73338574814579
G67	G92	2.72808614800919
G92	G67	2.72808614800919
G74	G99	2.72578730454116
G99	G74	2.72578730454116
G26	G42	2.72022148242
G42	G26	2.72022148242
G25	G54	2.7083929948614
G54	G25	2.7083929948614
G33	G16	2.67899617834535
G16	G33	2.67899617834535
G99	G19	2.67485154855244
G19	G99	2.67485154855244
G9	G57	2.67469448833782
G57	G9	2.67469448833782
G12	G96	2.67262931162557
G96	G12	2.67262931162557
G42	G12	2.66831695936979
G12	G42	2.66831695936979
G49	G19	2.65593116272382
G19	G49	2.65593116272382
G29	G30	2.6531452223533
G30	G29	2.6531452223533
G54	G37	2.65097476710093
G37	G54	2.65097476710093
G40	G7	2.64860802129802
G7	G40	2.64860802129802
G78	G86	2.64488378916825
G86	G78	2.64488378916825
G47	G35	2.63911626904225
G35	G47	2.63911626904225
G93	G49	2.63344802130055
G49	G93	2.63344802130055
G69	G94	2.62557329552983
G94	G69	2.62557329552983
G94	G42	2.62444875167178
G42	G94	2.62444875167178
G1	G56	2.61576552335587
G56	G1	2.61576552335587
G17	G49	2.61489951827767
G49	G17	2.61489951827767
G78	G8	2.60536827120541
G8	G78	2.60536827120541
G55	G19	2.59673721559603
G19	G55	2.59673721559603
G83	G88	2.59593552393807
G88	G83	2.59593552393807
G43	G42	2.59444678013138
G42	G43	2.59444678013138
G39	G42	2.58787409662276
G42	G39	2.58787409662276
G37	G36	2.58369146506952
G36	G37	2.58369146506952
G92	G25	2.57826885317331
G25	G92	2.57826885317331
G44	G85	2.56533415539301
G85	G44	2.56533415539301
G34	G94	2.56019754699172
G94	G34	2.56019754699172
G39	G99	2.55538461308868
G99	G39	2.55538461308868
G73	G53	2.55069482221162
G53	G73	2.55069482221162
G88	G65	2.54741945302941
G65	G88	2.54741945302941
G42	G83	2.54554907507416
G83	G42	2.54554907507416
G54	G35	2.53793811084283
G35	G54	2.53793811084283
G70	G42	2.52934786480697
G42	G70	2.52934786480697
G49	G1	2.51823280635367
G1	G49	2.51823280635367
G22	G17	2.51651300942383
G17	G22	2.51651300942383
G57	G56	2.51090927561615
G56	G57	2.51090927561615
G3	G92	2.50841596498623
G92	G3	2.50841596498623
G99	G88	2.50823049384282
G88	G99	2.50823049384282
G18	G100	2.49737950312967
G100	G18	2.49737950312967
G92	G95	2.49146147524009
G95	G92	2.49146147524009
G67	G46	2.48629906762123
G46	G67	2.48629906762123
G43	G41	2.48408613820525
G41	G43	2.48408613820525
G99	G3	2.48282545132862
G3	G99	2.48282545132862
G78	G15	2.47857527999361
G15	G78	2.47857527999361
G42	G74	2.47028945370963
G74	G42	2.47028945370963
G42	G41	2.46343330831121
G41	G42	2.46343330831121
G51	G53	2.45331848588604
G53	G51	2.45331848588604
G84	G86	2.4466391419324
G86	G84	2.4466391419324
G89	G10	2.4393134642541
G10	G89	2.4393134642541
G59	G54	2.43799659421015
G54	G59	2.43799659421015
G98	G89	2.43602809932223
G89	G98	2.43602809932223
G92	G97	2.43478245651389
G97	G92	2.43478245651389
G74	G10	2.43365737864648
G10	G74	2.43365737864648
G10	G99	2.43146600818691
G99	G10	2.43146600818691
G76	G43	2.42994666833972
G43	G76	2.42994666833972
G16	G78	2.4244147087443
G78	G16	2.4244147087443
G73	G55	2.42435999566597
G55	G73	2.42435999566597
G15	G44	2.4154195068173
G44	G15	2.4154195068173
G89	G1	2.41132231870042
G1	G89	2.41132231870042
G47	G46	2.41107275710746
G46	G47	2.41107275710746
G75	G28	2.40742975361538
G28	G75	2.40742975361538
G58	G49	2.40690689345221
G49	G58	2.40690689345221
G62	G44	2.40672733668718
G44	G62	2.40672733668718
G79	G29	2.40622171820872
G29	G79	2.40622171820872
G25	G85	2.40432034118076
G85	G25	2.40432034118076
G49	G39	2.40306384363769
G39	G49	2.40306384363769
G42	G19	2.40088036706467
G19	G42	2.40088036706467
G71	G89	2.39791442534658
G89	G71	2.39791442534658
G99	G78	2.39614176106151
G78	G99	2.39614176106151
G19	G38	2.39257311021705
G38	G19	2.39257311021705
G8	G14	2.39252067980977
G14	G8	2.39252067980977
G45	G15	2.38681561201102
G15	G45	2.38681561201102
G96	G94	2.38313158671312
G94	G96	2.38313158671312
G86	G7	2.38223862574309
G7	G86	2.38223862574309
G42	G3	2.38006138216714
G3	G42	2.38006138216714
G19	G66	2.37761801965393
G66	G19	2.37761801965393
G49	G74	2.37513325007424
G74	G49	2.37513325007424
G34	G17	2.37475973156835
G17	G34	2.37475973156835
G1	G44	2.37197736839265
G44	G1	2.37197736839265
G57	G72	2.36247377990784
G72	G57	2.36247377990784
G96	G49	2.35941592494202
G49	G96	2.35941592494202
G5	G87	2.35807348109301
G87	G5	2.35807348109301
G69	G99	2.3514339979944
G99	G69	2.3514339979944
G95	G12	2.35104969915934
G12	G95	2.35104969915934
G76	G69	2.35013429792781
G69	G76	2.35013429792781
G98	G99	2.34217322898738
G99	G98	2.34217322898738
G75	G80	2.33803681799075
G80	G75	2.33803681799075
G46	G66	2.33650868014505
G66	G46	2.33650868014505
G67	G56	2.3327280020005
G56	G67	2.3327280020005
G1	G55	2.32979814337844
G55	G1	2.32979814337844
G15	G73	2.32915196980967
G73	G15	2.32915196980967
G90	G43	2.32087008620514
G43	G90	2.32087008620514
G24	G64	2.31944279639569
G64	G24	2.31944279639569
G94	G99	2.3191860068977
G99	G94	2.3191860068977
G99	G71	2.31609678378942
G71	G99	2.31609678378942
G85	G11	2.31280600039661
G11	G85	2.31280600039661
G29	G83	2.31193064548665
G83	G29	2.31193064548665
G35	G99	2.30357965133571
G99	G35	2.30357965133571
G81	G47	2.29451852388029
G47	G81	2.29451852388029
G64	G21	2.28950241346718
G21	G64	2.28950241346718
G40	G92	2.2812189146742
G92	G40	2.2812189146742
G7	G41	2.27357519250309
G41	G7	2.27357519250309
G43	G88	2.27333624532157
G88	G43	2.27333624532157
G94	G21	2.27226831119859
G21	G94	2.27226831119859
G67	G91	2.27123069293823
G91	G67	2.27123069293823
G30	G52	2.26685124719238
G52	G30	2.26685124719238
G56	G69	2.26658792600918
G69	G56	2.26658792600918
G44	G4	2.26540428895276
G4	G44	2.26540428895276
G53	G9	2.26444910657649
G9	G53	2.26444910657649
G78	G87	2.25939676130001
G87	G78	2.25939676130001
G47	G80	2.25383958709694
G80	G47	2.25383958709694
G29	G95	2.25325741121399
G95	G29	2.25325741121399
G99	G67	2.239682578931
G67	G99	2.239682578931
G67	G45	2.2373201827841
G45	G67	2.2373201827841
G99	G100	2.23609353901956
G100	G99	2.23609353901956
G99	G79	2.23332268955828
G79	G99	2.23332268955828
G42	G86	2.23331251280904
G86	G42	2.23331251280904
G84	G3	2.2296124983712
G3	G84	2.2296124983712
G93	G42	2.2285298948287
G42	G93	2.2285298948287
G46	G99	2.22661514739621
G99	G46	2.22661514739621
G75	G42	2.22353454227384
G42	G75	2.22353454227384
G83	G95	2.22033407564153
G95	G83	2.22033407564153
G61	G69	2.2186708531438
G69	G61	2.2186708531438
G41	G80	2.2180180781061
G80	G41	2.2180180781061
G28	G12	2.21645500896717
G12	G28	2.21645500896717
G71	G10	2.19954501765596
G10	G71	2.19954501765596
G61	G38	2.19943642420034
G38	G61	2.19943642420034
G71	G32	2.19489151986983
G32	G71	2.19489151986983
G95	G64	2.19473919867309
G64	G95	2.19473919867309
G12	G71	2.19168629579723
G71	G12	2.19168629579723
G31	G46	2.19070781926115
G46	G31	2.19070781926115
G15	G79	2.18726933427198
G79	G15	2.18726933427198
G49	G89	2.18634214764024
G89	G49	2.18634214764024
G30	G58	2.18598979900381
G58	G30	2.18598979900381
G63	G20	2.18327824152059
G20	G63	2.18327824152059
G19	G92	2.17925721744912
G92	G19	2.17925721744912
G64	G87	2.17590780263273
G87	G64	2.17590780263273
G78	G18	2.17493617492728
G18	G78	2.17493617492728
G55	G37	2.17476393123278
G37	G55	2.17476393123278
G99	G4	2.17409097135578
G4	G99	2.17409097135578
G25	G26	2.16812151808825
G26	G25	2.16812151808825
G76	G32	2.1665193283127
G32	G76	2.1665193283127
G62	G66	2.16473916994581
G66	G62	2.16473916994581
G92	G36	2.15273649576396
G36	G92	2.15273649576396
G41	G49	2.15220089163861
G49	G41	2.15220089163861
G24	G49	2.15101445801894
G49	G24	2.15101445801894
G57	G31	2.14975670248581
G31	G57	2.14975670248581
G70	G53	2.1462384246673
G53	G70	2.1462384246673
G36	G80	2.1407379351848
G80	G36	2.1407379351848
G62	G46	2.13942452729357
G46	G62	2.13942452729357
G43	G32	2.13912013800677
G32	G43	2.13912013800677
G18	G42	2.13897729020894
G42	G18	2.13897729020894
G49	G55	2.13814418595127
G55	G49	2.13814418595127
G69	G42	2.13705560158995
G42	G69	2.13705560158995
G2	G74	2.13625737680908
G74	G2	2.13625737680908
G43	G97	2.13375382516107
G97	G43	2.13375382516107
G9	G47	2.12695575976406
G47	G9	2.12695575976406
G18	G66	2.12675513395235
G66	G18	2.12675513395235
G90	G10	2.12301683585761
G10	G90	2.12301683585761
G49	G92	2.12229930754858
G92	G49	2.12229930754858
G42	G52	2.12056969423944
G52	G42	2.12056969423944
G89	G99	2.11750294542764
G99	G89	2.11750294542764
G41	G33	2.11726753757597
G33	G41	2.11726753757597
G31	G32	2.11698949812393
G32	G31	2.11698949812393
G18	G92	2.1153320195422
G92	G18	2.1153320195422
G44	G93	2.10993318595834
G93	G44	2.10993318595834
G47	G25	2.10586033442747
G25	G47	2.10586033442747
G15	G74	2.10502456621064
G74	G15	2.10502456621064
G13	G44	2.09914218802628
G44	G13	2.09914218802628
G72	G96	2.09886178623696
G96	G72	2.09886178623696
G75	G30	2.09809646506396
G30	G75	2.09809646506396
G76	G57	2.09034501317564
G57	G76	2.09034501317564
G9	G32	2.09000222729687
G32	G9	2.09000222729687
G84	G28	2.08705756884238
G28	G84	2.08705756884238
G26	G21	2.08495739347893
G21	G26	2.08495739347893
G88	G4	2.08389647699566
G4	G88	2.08389647699566
G1	G94	2.08293725083571
G94	G1	2.08293725083571
G10	G55	2.07906397993638
G55	G10	2.07906397993638
G16	G30	2.07904216045835
G30	G16	2.07904216045835
G67	G78	2.07226739256408
G78	G67	2.07226739256408
G27	G99	2.07097151268247
G99	G27	2.07097151268247
G82	G49	2.06602281129392
G49	G82	2.06602281129392
G19	G86	2.06545844575393
G86	G19	2.06545844575393
G28	G32	2.06291608859504
G32	G28	2.06291608859504
G34	G73	2.0553923953571
G73	G34	2.0553923953571
G90	G28	2.05479901449991
G28	G90	2.05479901449991
G92	G86	2.05127325598826
G86	G92	2.05127325598826
G79	G41	2.05039914151965
G41	G79	2.05039914151965
G51	G69	2.04803570840888
G69	G51	2.04803570840888
G78	G84	2.04212398292397
G84	G78	2.04212398292397
G52	G19	2.04057980041633
G19	G52	2.04057980041633
G43	G33	2.0369468462647
G33	G43	2.0369468462647
G87	G94	2.03572374873391
G94	G87	2.03572374873391
G61	G15	2.03527260856113
G15	G61	2.03527260856113
G57	G33	2.03389890185204
G33	G57	2.03389890185204
G15	G43	2.03248424828643
G43	G15	2.03248424828643
G81	G80	2.0300296727004
G80	G81	2.0300296727004
G86	G30	2.01126674500384
G30	G86	2.01126674500384
G27	G66	2.00832870494542
G66	G27	2.00832870494542
G17	G96	2.00808708574429
G96	G17	2.00808708574429
G66	G11	2.00220231849076
G11	G66	2.00220231849076
G39	G74	1.99873806749728
G74	G39	1.99873806749728
G63	G84	1.99803326178759
G84	G63	1.99803326178759
G60	G25	1.99377159863768
G25	G60	1.99377159863768
G85	G83	1.99324041707417
G83	G85	1.99324041707417
G4	G83	1.98242216677352
G83	G4	1.98242216677352
G11	G27	1.9817923804574
G27	G11	1.9817923804574
G98	G8	1.98155277196839
G8	G98	1.98155277196839
G16	G61	1.97438345607343
G61	G16	1.97438345607343
G97	G100	1.97424119422421
G100	G97	1.97424119422421
G56	G49	1.97203087996006
G49	G56	1.97203087996006
G1	G4	1.9707275832131
G4	G1	1.9707275832131
G56	G47	1.96447348778884
G47	G56	1.96447348778884
G85	G57	1.96345282692264
G57	G85	1.96345282692264
G90	G18	1.9543724841419
G18	G90	1.9543724841419
G98	G94	1.95284396414799
G94	G98	1.95284396414799
G66	G42	1.94221357764561
G42	G66	1.94221357764561
G42	G30	1.93709732414772
G30	G42	1.93709732414772
G58	G65	1.93554865909673
G65	G58	1.93554865909673
G19	G95	1.93532631793606
G95	G19	1.93532631793606
G67	G34	1.93312024981016
G34	G67	1.93312024981016
G79	G42	1.9290455538517
G42	G79	1.9290455538517
G12	G91	1.92898088692121
G91	G12	1.92898088692121
G46	G36	1.92857299668708
G36	G46	1.92857299668708
G87	G19	1.92852290516742
G19	G87	1.92852290516742
G19	G60	1.92518084473388
G60	G19	1.92518084473388
G35	G34	1.9238278228283
G34	G35	1.9238278228283
G16	G43	1.92382705724108
G43	G16	1.92382705724108
G100	G42	1.92222689028522
G42	G100	1.92222689028522
G51	G28	1.92170461052609
G28	G51	1.92170461052609
G78	G39	1.92046260010786
G39	G78	1.92046260010786
G21	G11	1.92007584997243
G11	G21	1.92007584997243
G85	G31	1.91635243559057
G31	G85	1.91635243559057
G81	G43	1.91157045219252
G43	G81	1.91157045219252
G75	G78	1.91133226396402
G78	G75	1.91133226396402
G60	G76	1.90578015497432
G76	G60	1.90578015497432
G72	G43	1.90226791514362
G43	G72	1.90226791514362
G91	G19	1.89834571225069
G19	G91	1.89834571225069
G30	G11	1.89791068305189
G11	G30	1.89791068305189
G99	G22	1.89496616328059
G22	G99	1.89496616328059
G1	G29	1.89214251874703
G29	G1	1.89214251874703
G79	G43	1.89065566944196
G43	G79	1.89065566944196
G70	G62	1.88997988012447
G62	G70	1.88997988012447
G11	G49	1.88876451374084
G49	G11	1.88876451374084
G89	G80	1.88400875669236
G80	G89	1.88400875669236
G43	G1	1.88385745535637
G1	G43	1.88385745535637
G45	G100	1.88100788929879
G100	G45	1.88100788929879
G100	G95	1.87977783674838
G95	G100	1.87977783674838
G30	G92	1.87666333423925
G92	G30	1.87666333423925
G43	G46	1.87445292362359
G46	G43	1.87445292362359
G35	G69	1.87175984636715
G69	G35	1.87175984636715
G85	G73	1.87065593398876
G73	G85	1.87065593398876
G44	G31	1.86658108246879
G31	G44	1.86658108246879
G53	G42	1.86556621803962
G42	G53	1.86556621803962
G49	G7	1.86543583222404
G7	G49	1.86543583222404
G99	G65	1.86531746056801
G65	G99	1.86531746056801
G88	G74	1.86338662347479
G74	G88	1.86338662347479
G68	G57	1.85856842465429
G57	G68	1.85856842465429
G36	G8	1.85706657890696
G8	G36	1.85706657890696
G34	G31	1.85532851798739
G31	G34	1.85532851798739
G23	G76	1.8548155566599
G76	G23	1.8548155566599
G65	G56	1.85102209907948
G56	G65	1.85102209907948
G4	G32	1.85036599889007
G32	G4	1.85036599889007
G43	G89	1.84726078039816
G89	G43	1.84726078039816
G68	G42	1.84307645315581
G42	G68	1.84307645315581
G32	G23	1.84164773636868
G23	G32	1.84164773636868
G62	G99	1.84053952231082
G99	G62	1.84053952231082
G13	G43	1.83961144360172
G43	G13	1.83961144360172
G43	G9	1.83627294779268
G9	G43	1.83627294779268
G77	G52	1.83600565070388
G52	G77	1.83600565070388
G30	G95	1.83473764561361
G95	G30	1.83473764561361
G7	G81	1.83089620090615
G81	G7	1.83089620090615
G66	G23	1.8305938048324
G23	G66	1.8305938048324
G28	G42	1.82073799714786
G42	G28	1.82073799714786
G69	G54	1.81294512760618
G54	G69	1.81294512760618
G6	G84	1.81281803776186
G84	G6	1.81281803776186
G87	G97	1.81010447436953
G97	G87	1.81010447436953
G6	G42	1.80635872777433
G42	G6	1.80635872777433
G57	G94	1.80285749276067
G94	G57	1.80285749276067
G80	G98	1.80104199475361
G98	G80	1.80104199475361
G21	G78	1.8007707974262
G78	G21	1.8007707974262
G73	G49	1.79932120369049
G49	G73	1.79932120369049
G99	G87	1.79653007375274
G87	G99	1.79653007375274
G1	G60	1.79541008190801
G60	G1	1.79541008190801
G2	G11	1.7913928735724
G11	G2	1.7913928735724
G59	G79	1.79116415265096
G79	G59	1.79116415265096
G30	G81	1.78776881090147
G81	G30	1.78776881090147
G99	G33	1.78762649057991
G33	G99	1.78762649057991
G100	G19	1.78552618989137
G19	G100	1.78552618989137
G12	G53	1.78382405503244
G53	G12	1.78382405503244
G6	G33	1.78355567285951
G33	G6	1.78355567285951
G85	G54	1.78096723755009
G54	G85	1.78096723755009
G68	G91	1.7775259707551
G91	G68	1.7775259707551
G16	G42	1.77667920347736
G42	G16	1.77667920347736
G4	G90	1.77574427169196
G90	G4	1.77574427169196
G29	G89	1.77320628240032
G89	G29	1.77320628240032
G9	G42	1.77144167082528
G42	G9	1.77144167082528
G19	G43	1.77099054759844
G43	G19	1.77099054759844
G9	G49	1.76780840007073
G49	G9	1.76780840007073
G19	G7	1.76762176240233
G7	G19	1.76762176240233
G25	G42	1.7594196046228
G42	G25	1.7594196046228
G74	G68	1.75777329478225
G68	G74	1.75777329478225
G7	G99	1.75282358900895
G99	G7	1.75282358900895
G15	G58	1.75032009423495
G58	G15	1.75032009423495
G26	G30	1.74954940212628
G30	G26	1.74954940212628
G15	G97	1.74821895300708
G97	G15	1.74821895300708
G19	G94	1.74715423118898
G94	G19	1.74715423118898
G8	G42	1.74655081649636
G42	G8	1.74655081649636
